date,lvl_sm,q_cms_s,lvl_mbs,q_mm_day
2008-01-01,25.0,87.6,21.52,0.3387098831330431
2008-01-02,19.0,85.4,21.46,0.3302034705429439
2008-01-03,3.0,74.5,21.3,0.2880580627101793
2008-01-04,-8.0,67.7,21.19,0.261765514704418
2008-01-05,-17.0,61.8,21.1,0.2389528627582427
2008-01-06,-27.0,56.5,21.0,0.2184601415184582
2008-01-07,-35.0,51.2,20.92,0.1979674202786736
2008-01-08,-38.0,48.3,20.89,0.1867544218644518
2008-01-09,-35.0,50.7,20.92,0.1960341446900147
2008-01-10,-26.0,56.0,21.01,0.2165268659297992
2008-01-11,-15.0,62.6,21.12,0.242046103700097
2008-01-12,-4.0,69.3,21.23,0.2679519965881266
2008-01-13,2.0,73.1,21.29,0.2826448910619343
2008-01-14,7.0,76.2,21.34,0.2946311997116197
2008-01-15,7.0,76.2,21.34,0.2946311997116197
2008-01-16,4.0,74.7,21.31,0.288831372945643
2008-01-17,-1.0,70.2,21.26,0.2714318926477126
2008-01-18,-8.0,65.8,21.19,0.2544190674675141
2008-01-19,-11.0,63.1,21.16,0.2439793792887559
2008-01-20,-10.0,63.7,21.17,0.2462993099951466
2008-01-21,-9.0,63.5,21.18,0.2455259997596831
2008-01-22,-8.0,63.1,21.19,0.2439793792887559
2008-01-23,-7.0,62.8,21.2,0.2428194139355606
2008-01-24,-7.0,62.8,21.2,0.2428194139355606
2008-01-25,-7.0,61.9,21.2,0.2393395178759745
2008-01-26,-7.0,61.9,21.2,0.2393395178759745
2008-01-27,-6.0,62.5,21.21,0.2416594485823652
2008-01-28,-6.0,62.5,21.21,0.2416594485823652
2008-01-29,-5.0,63.1,21.22,0.2439793792887559
2008-01-30,-4.0,63.6,21.23,0.2459126548774149
2008-01-31,-2.0,64.8,21.25,0.2505525162901963
2008-02-01,2.0,67.2,21.29,0.2598322391157591
2008-02-02,5.0,69.4,21.32,0.2683386517058584
2008-02-03,9.0,72.5,21.36,0.2803249603555437
2008-02-04,11.0,73.8,21.38,0.2853514768860569
2008-02-05,13.0,75.2,21.4,0.2907646485343019
2008-02-06,13.0,76.3,21.4,0.2950178548293515
2008-02-07,14.0,77.0,21.41,0.297724440653474
2008-02-08,15.0,77.7,21.42,0.3004310264775965
2008-02-09,18.0,79.1,21.45,0.3058441981258414
2008-02-10,24.0,83.3,21.51,0.3220837130705764
2008-02-11,29.0,86.1,21.56,0.3329100563670663
2008-02-12,34.0,89.6,21.61,0.3464429854876787
2008-02-13,36.0,90.3,21.63,0.3491495713118013
2008-02-14,37.0,91.0,21.64,0.3518561571359238
2008-02-15,34.0,89.6,21.61,0.3464429854876787
2008-02-16,30.0,86.8,21.57,0.3356166421911888
2008-02-17,24.0,83.3,21.51,0.3220837130705764
2008-02-18,19.0,79.8,21.46,0.3085507839499639
2008-02-19,14.0,77.0,21.41,0.297724440653474
2008-02-20,8.0,72.8,21.35,0.281484925708739
2008-02-21,5.0,71.4,21.32,0.2760717540604941
2008-02-22,8.0,72.8,21.35,0.281484925708739
2008-02-23,15.0,77.7,21.42,0.3004310264775965
2008-02-24,26.0,84.0,21.53,0.3247902988946989
2008-02-25,41.0,93.8,21.68,0.3626825004324138
2008-02-26,61.0,106.0,21.88,0.4098544247956915
2008-02-27,81.0,122.0,22.08,0.471719243632777
2008-02-28,113.0,148.0,22.4,0.5722495742430409
2008-02-29,153.0,189.0,22.8,0.7307781725130725
2008-03-01,177.0,214.0,23.04,0.8274419519460187
2008-03-02,192.0,232.0,23.19,0.8970398731377398
2008-03-03,197.0,238.0,23.24,0.9202391802016467
2008-03-04,191.0,235.0,23.18,0.9086395266696934
2008-03-05,182.0,228.0,23.09,0.8815736684284685
2008-03-06,172.0,218.0,22.99,0.8429081566552901
