time,temperature_2m,total_precipitation_sum,potential_evaporation_sum,snow_depth_water_equivalent,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,snow_albedo,snow_cover,snow_density,snow_depth,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,surface_runoff_sum,sub_surface_runoff_sum,site_id
1975-01-01,-5.2857366,0.003520313,-5.170703e-05,0.040401537,272.2316,272.45557,274.0055,278.38123,0.78137505,99.75391,169.98338,0.23726399,0.31770006,0.31896272,0.31289354,0.3431581,0.0,0.00018455833,77130
1975-01-02,-9.231196,0.00081433356,-6.669015e-05,0.042752545,272.19888,272.47565,273.99805,278.29068,0.79571575,99.75391,168.3535,0.2536621,0.31725183,0.31858316,0.31292215,0.34310594,0.0,0.00018423796,77130
1975-01-03,-11.072235,9.4997886e-05,2.1606684e-05,0.042957027,272.11752,272.48462,273.99063,278.2026,0.7894975,99.75391,169.39679,0.25382486,0.31681886,0.31822586,0.3129476,0.34305573,0.0,0.00018389523,77130
1975-01-04,-5.138526,0.002972721,-0.00019185245,0.04385261,272.09943,272.4846,273.98254,278.11545,0.79035866,99.75391,170.69269,0.2565104,0.31640497,0.3178711,0.31296602,0.34300613,0.0,0.00018355995,77130
1975-01-05,-3.9175775,0.008130865,-0.00017224252,0.050102275,272.1769,272.49088,273.9743,278.03098,0.8267442,99.75391,172.11815,0.28979492,0.3160076,0.3175284,0.31297937,0.34295526,0.0,0.00018323958,77130
1975-01-06,-5.5712886,0.0027396872,-7.2717667e-06,0.054906685,272.2145,272.5024,273.96573,277.94696,0.8415322,99.75391,171.24576,0.3199056,0.31562233,0.3171959,0.31298828,0.34290633,0.0,0.00018291175,77130
1975-01-07,-6.350095,0.002573961,-4.1775405e-05,0.05858807,272.23547,272.51483,273.9573,277.8655,0.8469579,99.75391,171.53123,0.34098306,0.3152542,0.31687418,0.31298828,0.34285864,0.0,0.00018258393,77130
1975-01-08,-10.501807,0.0023305893,1.6823411e-05,0.059536856,272.2248,272.52625,273.94922,277.78503,0.84243405,99.75391,172.41632,0.34468588,0.31489626,0.31656012,0.31300226,0.3428103,0.0,0.0001822561,77130
1975-01-09,-13.834995,0.0002499503,4.6886504e-05,0.061555784,272.18005,272.53226,273.94116,277.7056,0.84186596,99.75391,168.65038,0.3651937,0.31455168,0.31625685,0.31298828,0.342762,0.0,0.00018194318,77130
1975-01-10,-18.837841,0.0010064691,3.8057566e-05,0.061827023,272.10153,272.5294,273.93317,277.6285,0.83485293,99.75391,169.20181,0.36523438,0.3142179,0.31596056,0.31298828,0.34271368,0.0,0.0001816079,77130
