date,lvl_sm,q_cms_s,lvl_mbs,q_mm_day
2008-01-01,238.0,2.18,114.71,0.1598487330202306
2008-01-02,234.0,2.07,114.67,0.151782971262329
2008-01-03,232.0,2.02,114.65,0.1481167159178283
2008-01-04,228.0,1.96,114.61,0.1437172095044275
2008-01-05,225.0,1.91,114.58,0.1400509541599268
2008-01-06,224.0,1.84,114.57,0.1349181966776258
2008-01-07,223.0,1.8,114.56,0.1319851924020252
2008-01-08,221.0,1.77,114.54,0.1297854391953248
2008-01-09,218.0,1.72,114.51,0.1261191838508241
2008-01-10,217.0,1.68,114.5,0.1231861795752235
2008-01-11,217.0,1.69,114.5,0.1239194306441237
2008-01-12,217.0,1.69,114.5,0.1239194306441237
2008-01-13,217.0,1.69,114.5,0.1239194306441237
2008-01-14,218.0,1.69,114.51,0.1239194306441237
2008-01-15,218.0,1.72,114.51,0.1261191838508241
2008-01-16,218.0,1.72,114.51,0.1261191838508241
2008-01-17,218.0,1.72,114.51,0.1261191838508241
2008-01-18,218.0,1.72,114.51,0.1261191838508241
2008-01-19,218.0,1.72,114.51,0.1261191838508241
2008-01-20,218.0,1.72,114.51,0.1261191838508241
2008-01-21,222.0,1.74,114.55,0.1275856859886244
2008-01-22,228.0,1.76,114.61,0.1290521881264247
2008-01-23,233.0,1.76,114.66,0.1290521881264247
2008-01-24,237.0,1.8,114.7,0.1319851924020252
2008-01-25,240.0,1.82,114.73,0.1334516945398255
2008-01-26,240.0,1.82,114.73,0.1334516945398255
2008-01-27,241.0,1.8,114.74,0.1319851924020252
2008-01-28,242.0,1.8,114.75,0.1319851924020252
2008-01-29,242.0,1.8,114.75,0.1319851924020252
2008-01-30,242.0,1.77,114.75,0.1297854391953248
2008-01-31,242.0,1.74,114.75,0.1275856859886244
2008-02-01,241.0,1.73,114.74,0.1268524349197242
2008-02-02,239.0,1.68,114.72,0.1231861795752235
2008-02-03,237.0,1.67,114.7,0.1224529285063234
2008-02-04,238.0,1.67,114.71,0.1224529285063234
2008-02-05,238.0,1.64,114.71,0.120253175299623
2008-02-06,239.0,1.64,114.72,0.120253175299623
2008-02-07,240.0,1.65,114.73,0.1209864263685231
2008-02-08,241.0,1.66,114.74,0.1217196774374233
2008-02-09,241.0,1.63,114.74,0.1195199242307228
2008-02-10,239.0,1.61,114.72,0.1180534220929226
2008-02-11,237.0,1.59,114.7,0.1165869199551223
2008-02-12,234.0,1.57,114.67,0.115120417817322
2008-02-13,229.0,1.54,114.62,0.1129206646106216
2008-02-14,227.0,1.53,114.6,0.1121874135417214
2008-02-15,225.0,1.52,114.58,0.1114541624728213
2008-02-16,224.0,1.52,114.57,0.1114541624728213
2008-02-17,222.0,1.51,114.55,0.1107209114039212
2008-02-18,221.0,1.54,114.54,0.1129206646106216
2008-02-19,221.0,1.54,114.54,0.1129206646106216
2008-02-20,224.0,1.94,114.57,0.1422507073666272
2008-02-21,229.0,2.62,114.62,0.1921117800518367
2008-02-22,237.0,3.22,114.7,0.2361068441858452
2008-02-23,267.0,4.53,115.0,0.3321627342117635
2008-02-24,278.0,5.79,115.11,0.4245523688931812
2008-02-25,284.0,6.61,115.17,0.4846789565429928
